platform,id,key,name,rating,user_numbers,creator,last_updated,introduction,record_time
chrome,bgddejjmhilkdllbakkgddjodommlimc,bitcoin-price-ticker,Bitcoin price ticker,4.2,"7,000",Extpose,2020-10-13 00:00:00,Shows bitcoin price provided by CoinDesk Bitcoin Price Index in a browser toolbar.,2021-02-19 16:47:52.051734
chrome,onebfemgnhgpkdcmijbpjakhhidonjfl,coincorner-earn-bitcoin,CoinCorner - Earn Bitcoin,5.0,540,CoinCorner,2021-02-05 00:00:00,Earn Bitcoin cashback when you shop online with thousands of top brands with CoinCorner!,2021-02-19 16:47:53.961487
chrome,kjjlmgehohdbclcmfmphmifnppmcmeio,bitcoin-price,Bitcoin Price,4.166666666666667,629,shaomxing,2020-02-05 00:00:00,"A tool to show Bitcoin price, desktop notifications, and Bitcoin news",2021-02-19 16:47:54.982858
chrome,ijpmihhlfkkfeimocndobeghgdggkail,adsbitcoinio-get-bitcoins,adsbitcoin.io - Get Bitcoins in a second.,3.875,"10,000",adsbitcoin.io,2020-12-02 00:00:00,Get Bitcoins in a second.,2021-02-19 16:47:55.609219
chrome,gidpkdpdnngpfohekcfkfjbkieeihekj,btc-ticker-bitcoin-ticker,BTC Ticker | Bitcoin Ticker,4.368421052631579,"2,000",Betonimig,2021-01-25 00:00:00,"Bitcoin and Token exchange price ticker. Displays the current price on the badge icon, Chart and Alert notifications.",2021-02-19 16:47:59.811404
chrome,fbbckponafgkennhnmgfoikfmbkiplgp,coinstats-crypto-portfoli,CoinStats - Crypto Portfolio Tracker,4.777777777777778,"7,000",Coin Stats Inc,2020-10-09 00:00:00,Cryptocurrency live price and portfolio tracker.,2021-02-19 16:48:02.891991
chrome,jjcbgfhjneiblaifakgnnkdakebpebaf,bitcoin-auto-converter,Bitcoin Auto-Converter,4.0344827586206895,"1,000",Concept211,2020-05-23 00:00:00,Finds the BTC values on any website and displays the live conversion to your currency.,2021-02-19 16:48:07.190245
chrome,kmocgjpcbdnngajkppcemacfebaaeiid,trafficlyio-get-bitcoins,trafficly.io - Get Bitcoins in a second.,4.161764705882353,"10,000",trafficly.io,2020-06-08 00:00:00,Get Bitcoins in a second.,2021-02-19 16:48:08.322241
chrome,ajimhlkppknjhjccilgojebdcaljlmbe,bitcoin-tracker,Bitcoin Tracker,0.0,66,Tim,2021-01-08 00:00:00,Stay up to date on the latest prices of Bitcoin,2021-02-19 16:48:14.697616
chrome,jadobjbcgibiopkifknkfnohlelpocll,badger-wallet,Badger Wallet,4.862068965517241,"6,000",badgerwallet,2020-04-01 00:00:00,Bitcoin Cash Browser Extension,2021-02-19 16:48:20.606941
chrome,mhhgjpidhclpobhkdnlopdfhfamalnia,stormx-shop-earn-crypto,StormX: Shop & Earn Crypto,5.0,"6,000",StormX Singapore PTE. LTD.,2021-02-15 00:00:00,StormX,2021-02-19 16:48:21.629088
chrome,mengdaiflgahpehifoiopgcdbjapabpn,bitcoin-price-converter,Bitcoin price converter,4.5,21,coen.baars,2020-02-22 00:00:00,"With the online Bitcoin price converter, you can easily get today’s exchange rates of Bitcoin (BTC) in any fiat currency.",2021-02-19 16:48:24.391980
chrome,llpbjcejemjfaicajiephoejjnogfbed,bitcoin-tab,Bitcoin Tab,0.0,32,Bitcoin Tab,2020-11-29 00:00:00,Replace new tab page with a crypto dashboard,2021-02-19 16:48:25.626537
chrome,hpglfhgfnhbgpjdenjgmdgoeiappafln,guarda,Guarda,4.0,"3,000",Guarda,2020-12-29 00:00:00,Browser extension for Ethereum and any blockchain,2021-02-19 16:48:26.234956
chrome,bkekahlamloiehinhehocilnepdlhfeh,bitcoin-price-in-usd-by-b,Bitcoin price in USD by BitcoinFan,5.0,66,BitcoinFan,2020-12-26 00:00:00,"This extension displays the current Bitcoin price in USD on the badge. If you click it, a chart of the last 24h will be displayed.",2021-02-19 16:48:35.553554
chrome,cpcnbnofbhmpimepokdpmoomejafefhb,bitcoin-btc-price-ticker,Bitcoin (BTC) Price Ticker,5.0,202,Taha,2020-03-10 00:00:00,This extension shows latest price ticker of popular BTC trading markets.,2021-02-19 16:48:38.944264
chrome,hefcolnfiajabgmmbhcnokalagfpaphk,bitcoin-price-in-eur-by-b,Bitcoin price in EUR by BitcoinFan,5.0,57,BitcoinFan,2020-12-26 00:00:00,"This extension displays the current Bitcoin price in EUR on the badge. If you click it, a chart of the last 24h will be displayed.",2021-02-19 16:48:41.413367
chrome,jlbkpppjbkmkjjemjcofmccodofkknmc,cryptocurrency-prices-cha,Cryptocurrency Prices & Charts - BitDuck,5.0,532,CrisValls,2021-02-12 00:00:00,"Displays real-time prices and charts of different cryptocurrencies at 1 click, including from the browser bar.",2021-02-19 16:48:46.310973
