platform,id,key,name,rating,user_numbers,creator,last_updated,introduction,record_time
chrome,nkmooloiipfcknccapehflmampkaniji,bitsafe-adblocker, BitSafe Adblocker,0.0,459,support,2020-07-09 00:00:00,Enjoy the Ad-Free Web Experience.,2021-03-05 18:24:31.528111
chrome,cpclpigpkojganpmppallpfndknhmjmg,crypto-alert,Crypto Alert,5.0,55,crypto.alert,2021-02-25 00:00:00,Show Cryptocurrencies prices while you are surfing the web and set alarms...,2021-03-05 18:24:49.002317
chrome,iopigoikekfcpcapjlkcdlokheickhpc,aergo-connect,Aergo Connect,5.0,719,Aergo,2020-11-21 00:00:00,"Wallet for Aergo Mainnet, Testnet, and private networks",2021-03-05 18:24:50.503695
chrome,hpglfhgfnhbgpjdenjgmdgoeiappafln,guarda,Guarda,4.041666666666667,"3,000",Guarda,2020-12-29 00:00:00,Browser extension for Ethereum and any blockchain,2021-03-05 18:24:51.504712
chrome,dmkamcknogkgcdfhhbddcghachkejeap,keplr,Keplr,4.8,"20,000",keplr,2021-02-23 00:00:00,Keplr is a browser extension wallet for the Inter blockchain ecosystem.,2021-03-05 18:24:56.688858
chrome,kmmolakhbgdlpkjkcjkebenjheonagdm,algosigner,AlgoSigner,5.0,680,https://www.purestake.com,2021-02-27 00:00:00,Algorand Wallet Extension | Send & Receive ALGOs | Sign dApp Transactions,2021-03-05 18:25:13.545787
chrome,fdahclgkkbnjkfcngfbohobpmedlcfpm,algorand-wallet,Algorand Wallet,0.0,86,Pibals,2020-01-25 00:00:00,"Algorand Wallet enables access the Algorand Network from your desktop browser.

🔐 Securely send and receive ALGOs
🤝 Connect to…",2021-03-05 18:25:14.238779
chrome,kmmolakhbgdlpkjkcjkebenjheonagdm,algosigner,AlgoSigner,5.0,680,https://www.purestake.com,2021-02-27 00:00:00,Algorand Wallet Extension | Send & Receive ALGOs | Sign dApp Transactions,2021-03-05 18:25:15.544256
chrome,fdahclgkkbnjkfcngfbohobpmedlcfpm,algorand-wallet,Algorand Wallet,0.0,86,Pibals,2020-01-25 00:00:00,"Algorand Wallet enables access the Algorand Network from your desktop browser.

🔐 Securely send and receive ALGOs
🤝 Connect to…",2021-03-05 18:25:16.210243
chrome,ndlipcnkmpindoekaljokapponmjjekb,scratch-amp-match-animals,Scratch &amp; Match Animals,0.0,0,rosamondstone955,2020-01-15 00:00:00,You have 3 minutes to scratch and match the animal cards,2021-03-05 18:27:36.072726
chrome,djpjdkkephcgngcphmehnheedambnkjn,boys-amp-girls-bubble-pop,Boys &amp; Girls Bubble Pop,0.0,0,evstigneishaganov,2020-01-16 00:00:00,"In Boys &amp; Girls Bubble Pop, you must burst water ballons to trigger a chain reaction in order to eliminate them",2021-03-05 18:27:37.533974
