platform,id,key,name,rating,user_numbers,creator,last_updated,introduction,record_time
chrome,cpclpigpkojganpmppallpfndknhmjmg,crypto-alert,Crypto Alert,5.0,49,crypto.alert,2021-02-20 00:00:00,Show Cryptocurrencies prices while you are surfing the web and set alarms...,2021-02-25 22:54:29.490007
chrome,hpglfhgfnhbgpjdenjgmdgoeiappafln,guarda,Guarda,4.0,"3,000",Guarda,2020-12-29 00:00:00,Browser extension for Ethereum and any blockchain,2021-02-25 22:54:32.187858
chrome,nkmooloiipfcknccapehflmampkaniji,bitsafe-adblocker, BitSafe Adblocker,0.0,460,support,2020-07-09 00:00:00,Enjoy the Ad-Free Web Experience.,2021-02-25 22:55:23.118652
chrome,iopigoikekfcpcapjlkcdlokheickhpc,aergo-connect,Aergo Connect,5.0,705,Aergo,2020-11-21 00:00:00,"Wallet for Aergo Mainnet, Testnet, and private networks",2021-02-25 22:55:35.999383
chrome,kmmolakhbgdlpkjkcjkebenjheonagdm,algosigner,AlgoSigner,5.0,639,https://www.purestake.com,2020-12-29 00:00:00,Algorand Wallet Extension | Send & Receive ALGOs | Sign dApp Transactions,2021-02-25 22:55:36.603446
chrome,fdahclgkkbnjkfcngfbohobpmedlcfpm,algorand-wallet,Algorand Wallet,0.0,73,Pibals,2020-01-25 00:00:00,"Algorand Wallet enables access the Algorand Network from your desktop browser.

🔐 Securely send and receive ALGOs
🤝 Connect to…",2021-02-25 22:55:37.910580
chrome,kmmolakhbgdlpkjkcjkebenjheonagdm,algosigner,AlgoSigner,5.0,639,https://www.purestake.com,2020-12-29 00:00:00,Algorand Wallet Extension | Send & Receive ALGOs | Sign dApp Transactions,2021-02-25 22:55:38.843103
chrome,fdahclgkkbnjkfcngfbohobpmedlcfpm,algorand-wallet,Algorand Wallet,0.0,73,Pibals,2020-01-25 00:00:00,"Algorand Wallet enables access the Algorand Network from your desktop browser.

🔐 Securely send and receive ALGOs
🤝 Connect to…",2021-02-25 22:55:39.526987
chrome,dmkamcknogkgcdfhhbddcghachkejeap,keplr,Keplr,4.8,"20,000",keplr,2021-02-23 00:00:00,Keplr is a browser extension wallet for the Inter blockchain ecosystem.,2021-02-25 22:55:40.028123
chrome,ejnhnjnlkkchdogfnjjdnpkjggpiodnh,amo-wallet,AMO Wallet,0.0,17,Penta Security Systems Inc,2020-12-01 00:00:00,AMO Wallet Chrome Extension,2021-02-25 22:55:53.550587
chrome,ofhcjgfhkkcjadjabioiohpkelppokhm,archero-hack-unlimited-ge,Archero Hack Unlimited Gems & Coins,0.0,19,apollo,2020-12-26 00:00:00,Archero Hack 2021 Unlimited Free Gems And Coins Glitch Cheats Mod Apk,2021-02-25 22:56:19.172370
chrome,hfadghcjdnibmkeeoaffmhcgdgnlaohd,dnet,dNet,0.0,17,MrV,2020-03-16 00:00:00,Access a decentralized internet on the Ardor blockchain platform using *.ardor URLs,2021-02-25 22:56:23.295304
chrome,fhjlhelkkpngpbhhlnigamdanajnnfhg,ark-arkbtc-price-ticker,Ark (ARK/BTC) Price Ticker,5.0,68,Taha,2020-03-14 00:00:00,This extension shows latest price of ARK/BTC for bittrex.,2021-02-25 22:56:26.628405
chrome,njkoakaanifjmpdggjclbmabhmfghico,aliexpress-paypal,AliExpress Paypal,5.0,215,AliChrome,2020-12-22 00:00:00,Show if the AliExpress seller accept Paypal,2021-02-25 22:56:49.404989
chrome,iplppiggblloelhoglpmkmbinggcaaoc,arweave,Arweave,4.923076923076923,"5,000",team,2020-03-08 00:00:00,Arweave web archiver and wallet.,2021-02-25 22:56:59.636862
chrome,einnioafmpimabjcddiinlhmijaionap,arconnect,ArConnect,0.0,9,tate,2021-02-23 00:00:00,Secure wallet management for Arweave,2021-02-25 22:57:01.634295
chrome,fhilaheimglignddkjgofkcbgekhenbh,oxygen-atomic-crypto-wall,Oxygen - Atomic Crypto Wallet,2.0,283,Oxygen - Blockchain Solutions,2020-05-26 00:00:00,"Multi cryptocurrency secure wallet - your key, your money!",2021-02-25 22:57:03.548506
chrome,hpglfhgfnhbgpjdenjgmdgoeiappafln,guarda,Guarda,4.0,"3,000",Guarda,2020-12-29 00:00:00,Browser extension for Ethereum and any blockchain,2021-02-25 22:57:04.073453
chrome,epllefgepapckihklfccpocjbnelpojp,coinclaim,CoinClaim,3.9,"3,000",Satorify.io,2020-02-01 00:00:00,"CoinClaim is a token-based system that rewards you real, tradable crypto (CLM) for completing online quests and challenges.",2021-02-25 22:57:05.280081
chrome,gfjmjaloockgblofndpilcafdonjhhef,eks-token-login,EKS token login,0.0,3,ddh.haven,2020-09-14 00:00:00,Get a token for authentication with an eks cluster,2021-02-25 22:57:19.733476
chrome,ckhhiodbmfdohcbfmbooboiijnfgpmnf,icashback-app,iCashBack App,4.833333333333333,730,iCashBack,2020-05-05 00:00:00,Adauga acum si automat ai CashBack si Vouchere la cele mai tari magazine din Romania si strainatate!,2021-02-25 22:57:32.821396
chrome,fnjhmkhhmkbjkkabndcnnogagogbneec,ronin-wallet,Ronin Wallet,4.986301369863014,"8,000",Sky Mavis,2021-02-04 00:00:00,A wallet for Sky Mavis's Ronin sidechain,2021-02-25 22:58:27.094111
chrome,hpglfhgfnhbgpjdenjgmdgoeiappafln,guarda,Guarda,4.0,"3,000",Guarda,2020-12-29 00:00:00,Browser extension for Ethereum and any blockchain,2021-02-25 22:58:29.404163
chrome,fgkldlaelopgncepgpncndebgdddikii,julwallet,JulWallet,5.0,782,JustLiquidity,2021-02-18 00:00:00,A MultiWallet in your Browser,2021-02-25 22:58:55.348322
chrome,olognjcjfiknpiblpbnmjgbehodclokg,stumble-across,Stumble Across,5.0,15,StumbleAcross,2020-09-27 00:00:00,Bookmarking and content discovery on the blockchain,2021-02-25 22:59:13.139925
chrome,ogajfoicbmjoggcpkmhddokjoipjbnkg,feel-the-fee,Feel the Fee,0.0,53,harry830622,2020-09-10 00:00:00,Check out real-time gas fees on Ethereum in whatever currency you like,2021-02-25 22:59:29.360636
chrome,ogmiofjkfnahelggohlhbhmecilppdkg,1337x-free-moviestv-serie,"1337x| Free movies,TV series,music download",0.0,454,sudarshan,2021-01-03 00:00:00,"1337x - Download music, movies, games, software and much more. 1337x is the galaxy's most resilient BitTorrent site",2021-02-25 22:59:46.399828
chrome,hpglfhgfnhbgpjdenjgmdgoeiappafln,guarda,Guarda,4.0,"3,000",Guarda,2020-12-29 00:00:00,Browser extension for Ethereum and any blockchain,2021-02-25 23:00:20.603723
chrome,dkpedpjjafnceedhomeijlphmjbblmdj,currency-converter,Currency Converter,4.658357771260997,"100,000",jlozanodeveloper,2021-02-09 00:00:00,Currency converter for Google Chrome fast and easy to use.,2021-02-25 23:00:49.749467
chrome,fljfmblajgejeicncojogelbkhbobejn,discogs-enhancer,Discogs Enhancer,4.825,"5,000",mattsalcido,2021-01-28 00:00:00,"Adds a dark theme, block sellers, price comparisons, currency converter, configurable quick search, & more to Discogs!",2021-02-25 23:00:54.799878
chrome,gochdgmelobhldaeobcdeampknjdkcnm,microbitcoin-wallet-exten,Microbitcoin Wallet Extension,0.0,12,Nugetzrul3,2020-07-19 00:00:00,Light Web Wallet for MicroBitcoin as a Chrome Extension.,2021-02-25 23:01:03.438824
chrome,nnianpohaekfhjbpgnfnkkbikeopeogn,currency-converter,Currency Converter,5.0,61,Easy Unit Converter,2020-03-07 00:00:00,Currency Converter,2021-02-25 23:01:21.280827
chrome,iakaldcgeljnjaldddjhbaocgpkhgckc,basic-russian-flashcards,Basic Russian Flashcards,3.0,510,Obsidian River Software,2020-06-06 00:00:00,Flashcards for the student learning basic Russian vocabulary,2021-02-25 23:01:25.838202
chrome,emaljdgadafgjbdfhejfjlbbnkancpee,flash-cards-basic-spanish,Flash Cards : Basic Spanish Flashcards,3.5,356,Obsidian River Software,2020-06-07 00:00:00,Flash Cards for the student learning basic Spanish vocabularys,2021-02-25 23:01:27.912048
chrome,mpjglckkbnaicjnpcdjkedcdbhoimdhi,basic-french-flashcards,Basic French Flashcards,1.0,189,Obsidian River Software,2020-06-06 00:00:00,Flashcards for the student learning basic French vocabulary,2021-02-25 23:01:29.594904
chrome,fjppjknkbjmapanbefodlkaphlmiemga,basic-german-flashcards,Basic German Flashcards,5.0,151,Obsidian River Software,2020-06-06 00:00:00,Flashcards for the student learning basic German vocabulary,2021-02-25 23:01:30.088588
chrome,lbpdggmcmkgnkaanpkocdacedlkjpenk,basic-chinese-flashcards,Basic Chinese Flashcards,3.0,60,Obsidian River Software,2020-06-06 00:00:00,Flashcards for the student learning basic Chinese vocabulary,2021-02-25 23:01:37.054119
chrome,mkdeimpckninacbjgokjhpnapfigebjb,basic-italian-flashcards,Basic Italian Flashcards,1.0,64,Obsidian River Software,2020-06-06 00:00:00,Flashcards for the student learning basic Italian vocabulary,2021-02-25 23:01:37.571997
chrome,lifidlbpankklllcklhkijihhnaapoef,check-status-code,Check Status Code,2.125,855,soninow,2020-07-02 00:00:00,"Check server status code, redirection URLs, response headers, Basic Authentication & redirection chain of server connection.",2021-02-25 23:02:09.019218
chrome,hpglfhgfnhbgpjdenjgmdgoeiappafln,guarda,Guarda,4.0,"3,000",Guarda,2020-12-29 00:00:00,Browser extension for Ethereum and any blockchain,2021-02-25 23:02:24.941140
chrome,lfjcgcmkmjjlieihflfhjopckgpelofo,google-apps-script-github,Google Apps Script GitHub Assistant,4.794871794871795,"10,000",leonhartX,2021-01-21 00:00:00,Manage your gas code with github/github enterprise/bitbucket/gitlab,2021-02-25 23:02:26.161953
chrome,hcdhpianckhnoppbgmfjaibklhfmfaje,coin-master-free-spins-da,Coin Master Free Spins Daily,5.0,"1,000",www.cmlovers.com,2020-10-29 00:00:00,Coin Master Daily Free Spins -Daily free spin links,2021-02-25 23:02:28.304115
chrome,hpglfhgfnhbgpjdenjgmdgoeiappafln,guarda,Guarda,4.0,"3,000",Guarda,2020-12-29 00:00:00,Browser extension for Ethereum and any blockchain,2021-02-25 23:02:29.276690
chrome,mmonglphahfjlfcadefimipajbgnffco,coin-master-free-spins-an,Coin Master Free Spins And Daily Links Today,0.0,101,Muhammad Furqan,2020-12-19 00:00:00,"Best Place Which Gives You Daily Coin Master Free Spins, coin master links, coin master spins, coin master free spins",2021-02-25 23:02:30.620047
chrome,encbagjjcfifhakoenggcgldeigmhmim,coin-master-free-spins-an,Coin Master Free Spins And Coins Daily,5.0,62,webhelper,2021-02-01 00:00:00,"Collect coin master free spins and coins, coin master free rewards daily",2021-02-25 23:02:31.624069
chrome,jbdaocneiiinmjbjlgalhcelgbejmnid,nifty-wallet,Nifty Wallet,4.782608695652174,"5,000",POA Network,2021-01-17 00:00:00,Ethereum Browser Extension,2021-02-25 23:02:32.624120
chrome,ceepigemlmlbphjhffddplfecgedhoeb,pfcrypto,pfcrypto,4.75,683,sclem,2020-10-03 00:00:00,cryptocurrency holdings updater,2021-02-25 23:02:34.498353
chrome,ilhaljfiglknggcoegeknjghdgampffk,beam-web-wallet-testnet,Beam Web Wallet (Testnet),5.0,122,Beam,2020-08-08 00:00:00,Beam Web Wallet (Testnet),2021-02-25 23:02:37.581614
chrome,hpglfhgfnhbgpjdenjgmdgoeiappafln,guarda,Guarda,4.0,"3,000",Guarda,2020-12-29 00:00:00,Browser extension for Ethereum and any blockchain,2021-02-25 23:02:58.968683
chrome,jpfolalfhhpgehgboellpeohdaggocli,hex-metatransact-dappconn,HEX MetaTransact dAppConnect,0.0,10,MetaTransact,2020-05-31 00:00:00,HEX MetaTransact dAppConnect allow users to pay Ethereum txn fee in ERC20 tokens,2021-02-25 23:03:00.130796
chrome,fjfneilbihkhfajffplopnififklppln,figma-to-tokens,Figma to Tokens,0.0,10,UX Dev Tools,2020-04-20 00:00:00,Connect to Figma API and preview a color palette as CSS Variables or JSON Tokens,2021-02-25 23:03:02.033923
chrome,fhbohimaelbohpjbbldcngcnapndodjp,binance-chain-wallet,Binance Chain Wallet,2.64,"200,000",Binance Chain,2021-02-25 00:00:00,"A Crypto Wallet for Binance Chain, Binance Smart Chain and Ethereum",2021-02-25 23:03:10.596901
chrome,ehmhocjlcagmfeokjhmgmednhbdhpgep,binance-cryptocurrency-pr,Binance cryptocurrency price alerts,4.5625,"4,000",kaleem hunzai,2021-02-24 00:00:00,Set cryptocurrency price alerts with notifications and sound with ease,2021-02-25 23:03:11.668639
chrome,afommmnmohdebmgabmbglefkbholcobb,traderboxio-binance-exten,Traderbox.io Binance Extension,4.8,62,Traderbox.io,2020-08-29 00:00:00,Traderbox.io Binance Extension,2021-02-25 23:03:14.020764
chrome,loaljdkanlgipgdlmgijfodcaggiikjo,quick-ant,Quick Ant,4.2682926829268295,"1,000",quickant00,2020-11-29 00:00:00,"Upbit, Bithumb 매수/매도 단축키 툴",2021-02-25 23:03:14.525675
chrome,hdkoeaaegcmoljdaegapdpabifhjkgci,binance,Binance,1.0,61,Binance,2021-01-05 00:00:00,Binance Wallet,2021-02-25 23:03:15.549395
chrome,jdbkfmneiiiihofbccenainnlipalonj,binance-news-notification,Binance News Notification,0.0,5,chiahoahong,2020-06-09 00:00:00,The best Binance News Notification extension for Google Chrome. Check your Binance news notifications quickly and easily.,2021-02-25 23:03:23.347408
chrome,lekfgahkjfpgjmpbbppdllkamcjdjgfm,quick-ant-ext,Quick Ant Ext,3.5,432,quickant00,2020-11-29 00:00:00,"Upbit, Bithumb 매수/매도 단축키 툴 확장",2021-02-25 23:03:23.880552
