platform,id,key,name,rating,user_numbers,creator,last_updated,introduction
chrome,okchiedmnincflodifnojcnhnncldcbk,uppward-network-defence-s,UPPward (Network Defence Security),4.981132075471698,948,Sentinel Protocol,2020-11-15 00:00:00,"Protection solution against cyber threat, cryptocurrency scams, and frauds."
chrome,dnjhbpjfonpojkghgobcfanineelbooj,shopyub-automatic-coupon,ShopYub Automatic Coupon Finder Cashback,0.0,4,https://www.coupon.shopyub.com,2021-02-09 00:00:00,"ShopYub precisely uncovers coupons, applies extraordinary coupon code at checkout and offers you cashback."
chrome,bnoofoejokbhomedmcepbgbphabnboif,live-tv-india-500+-live-t,Live TV India: 500+ live TV Pay Channels,5.0,118,one free tv,2020-12-09 00:00:00,Live TV India: Watch 500+ Indian live TV (Pay)channel online for free
chrome,lkcjlnjfpbikmcmbachjpdbijejflpcm,steem-keychain,Steem Keychain,4.818181818181818,"6,000",Matt Rosen (@yabapmatt),2020-03-24 00:00:00,Secure Steem Wallet Extension.
chrome,hcoigoaekhfajcoingnngmfjdidhmdon,whalevault,WhaleVault,4.666666666666667,404,alexpmorris,2020-12-30 00:00:00,Secure Graphene Cross-Chain Key Store Extension
chrome,jhgnbkkipaallpehbohjmkbjofjdmeid,steemkeychain,SteemKeychain,5.0,356,HappyBerrysBoy,2020-12-19 00:00:00,Steem keychain
chrome,lifidlbpankklllcklhkijihhnaapoef,check-status-code,Check Status Code,2.125,840,soninow,2020-07-02 00:00:00,"Check server status code, redirection URLs, response headers, Basic Authentication & redirection chain of server connection."
chrome,flfdeojdcmafkipiacfmdgnijodanedb,pr-status,PR Status,5.0,82,rehanahmad,2020-10-23 00:00:00,Show Github PR Review Approval status in the cards on a Jira board
chrome,dbfipcjecamggjfabeaclacjoohfjhhn,кэшбэк-сервис-мегабонус,Cash Back Service Megabonus,4.642426071213036,"200,000",Webimatic LTD,2021-02-13 00:00:00,Service helping to make smart online purchases
chrome,bcacfldlkkdogcmkkibnjlakofdplcbk,freighter,Freighter,4.714285714285714,657,stellar.org,2021-01-21 00:00:00,Freighter is a non-custodial wallet extension that enables you to sign Stellar transactions via your browser.
chrome,kpcngaggbajehefdinhniockfhdhacnb,coinbag-track-all-your-co,Coinbag - Track all your coins in one place,5.0,102,CoinBag,2020-05-29 00:00:00,"Track price of bitcoin, Ethererum, Ripple, IOTA, EOS, Stellar and more than 1000 coins"
chrome,lfjcgcmkmjjlieihflfhjopckgpelofo,google-apps-script-github,Google Apps Script GitHub Assistant,4.794871794871795,"10,000",leonhartX,2021-01-21 00:00:00,Manage your gas code with github/github enterprise/bitbucket/gitlab
chrome,mcolhhemfacpoaghjidhliecpianpnjn,кэшбек-сервис-secretdisco,Cashback Service - SecretDiscounter.com,5.0,"3,000",SecretDiscounter.com,2020-06-05 00:00:00,Cashback Service SecretDiscounter - Get cashback on your purchases!
