platform,id,key,name,rating,user_numbers,creator,last_updated,introduction,record_time
chrome,cpclpigpkojganpmppallpfndknhmjmg,crypto-alert,Crypto Alert,5.0,55,crypto.alert,2021-02-25 00:00:00,Show Cryptocurrencies prices while you are surfing the web and set alarms...,2021-03-06 04:58:11.352942
chrome,iopigoikekfcpcapjlkcdlokheickhpc,aergo-connect,Aergo Connect,5.0,719,Aergo,2020-11-21 00:00:00,"Wallet for Aergo Mainnet, Testnet, and private networks",2021-03-06 04:58:12.464506
chrome,hpglfhgfnhbgpjdenjgmdgoeiappafln,guarda,Guarda,4.041666666666667,"3,000",Guarda,2020-12-29 00:00:00,Browser extension for Ethereum and any blockchain,2021-03-06 04:58:14.316261
chrome,nkmooloiipfcknccapehflmampkaniji,bitsafe-adblocker, BitSafe Adblocker,0.0,459,support,2020-07-09 00:00:00,Enjoy the Ad-Free Web Experience.,2021-03-06 04:59:11.384571
chrome,dmkamcknogkgcdfhhbddcghachkejeap,keplr,Keplr,4.761904761904762,"20,000",keplr,2021-02-23 00:00:00,Keplr is a browser extension wallet for the Inter blockchain ecosystem.,2021-03-06 04:59:25.181216
chrome,kmmolakhbgdlpkjkcjkebenjheonagdm,algosigner,AlgoSigner,5.0,680,https://www.purestake.com,2021-02-27 00:00:00,Algorand Wallet Extension | Send & Receive ALGOs | Sign dApp Transactions,2021-03-06 04:59:38.162636
chrome,fdahclgkkbnjkfcngfbohobpmedlcfpm,algorand-wallet,Algorand Wallet,0.0,86,Pibals,2020-01-25 00:00:00,"Algorand Wallet enables access the Algorand Network from your desktop browser.

🔐 Securely send and receive ALGOs
🤝 Connect to…",2021-03-06 04:59:38.688667
chrome,kmmolakhbgdlpkjkcjkebenjheonagdm,algosigner,AlgoSigner,5.0,680,https://www.purestake.com,2021-02-27 00:00:00,Algorand Wallet Extension | Send & Receive ALGOs | Sign dApp Transactions,2021-03-06 04:59:39.228472
chrome,fdahclgkkbnjkfcngfbohobpmedlcfpm,algorand-wallet,Algorand Wallet,0.0,86,Pibals,2020-01-25 00:00:00,"Algorand Wallet enables access the Algorand Network from your desktop browser.

🔐 Securely send and receive ALGOs
🤝 Connect to…",2021-03-06 04:59:40.616725
chrome,ejnhnjnlkkchdogfnjjdnpkjggpiodnh,amo-wallet,AMO Wallet,0.0,14,Penta Security Systems Inc,2020-12-01 00:00:00,AMO Wallet Chrome Extension,2021-03-06 04:59:41.142908
chrome,ndlipcnkmpindoekaljokapponmjjekb,scratch-amp-match-animals,Scratch &amp; Match Animals,0.0,0,rosamondstone955,2020-01-15 00:00:00,You have 3 minutes to scratch and match the animal cards,2021-03-06 05:00:27.952817
chrome,djpjdkkephcgngcphmehnheedambnkjn,boys-amp-girls-bubble-pop,Boys &amp; Girls Bubble Pop,0.0,0,evstigneishaganov,2020-01-16 00:00:00,"In Boys &amp; Girls Bubble Pop, you must burst water ballons to trigger a chain reaction in order to eliminate them",2021-03-06 05:00:29.066898
chrome,ofhcjgfhkkcjadjabioiohpkelppokhm,archero-hack-unlimited-ge,Archero Hack Unlimited Gems & Coins,0.0,27,apollo,2020-12-26 00:00:00,Archero Hack 2021 Unlimited Free Gems And Coins Glitch Cheats Mod Apk,2021-03-06 05:01:38.620012
chrome,hfadghcjdnibmkeeoaffmhcgdgnlaohd,dnet,dNet,0.0,19,MrV,2020-03-16 00:00:00,Access a decentralized internet on the Ardor blockchain platform using *.ardor URLs,2021-03-06 05:01:41.150562
chrome,fhjlhelkkpngpbhhlnigamdanajnnfhg,ark-arkbtc-price-ticker,Ark (ARK/BTC) Price Ticker,5.0,60,Taha,2020-03-14 00:00:00,This extension shows latest price of ARK/BTC for bittrex.,2021-03-06 05:01:45.096754
chrome,njkoakaanifjmpdggjclbmabhmfghico,aliexpress-paypal,AliExpress Paypal,5.0,260,AliChrome,2020-12-22 00:00:00,Show if the AliExpress seller accept Paypal,2021-03-06 05:02:06.314700
chrome,fhilaheimglignddkjgofkcbgekhenbh,oxygen-atomic-crypto-wall,Oxygen - Atomic Crypto Wallet,2.0,296,Oxygen - Blockchain Solutions,2020-05-26 00:00:00,"Multi cryptocurrency secure wallet - your key, your money!",2021-03-06 05:02:15.186880
chrome,hpglfhgfnhbgpjdenjgmdgoeiappafln,guarda,Guarda,4.041666666666667,"3,000",Guarda,2020-12-29 00:00:00,Browser extension for Ethereum and any blockchain,2021-03-06 05:02:15.674527
