platform,id,key,name,rating,user_numbers,creator,last_updated,introduction,record_time
chrome,fbbckponafgkennhnmgfoikfmbkiplgp,coinstats-crypto-portfoli,CoinStats - Crypto Portfolio Tracker,4.631578947368421,"7,000",Coin Stats Inc,2020-10-09 00:00:00,Cryptocurrency live price and portfolio tracker.,2021-02-24 08:05:35.885281
chrome,jfnangjojcioomickmmnfmiadkfhcdmd,nominer-block-coin-miners,NoMiner - Block Coin Miners,4.0,"20,000",chYer,2020-11-29 00:00:00,Easily stop coin miners from using your computer resources.,2021-02-24 08:05:36.922542
chrome,jjcbgfhjneiblaifakgnnkdakebpebaf,bitcoin-auto-converter,Bitcoin Auto-Converter,4.0344827586206895,"1,000",Concept211,2020-05-23 00:00:00,Finds the BTC values on any website and displays the live conversion to your currency.,2021-02-24 08:05:38.830066
chrome,hpglfhgfnhbgpjdenjgmdgoeiappafln,guarda,Guarda,4.0,"3,000",Guarda,2020-12-29 00:00:00,Browser extension for Ethereum and any blockchain,2021-02-24 08:05:39.877901
chrome,cbomnldpfbpmaonfclcbmhhcphgaljhe,bitsell-x,Bitsell X,4.333333333333333,311,ABP Interactive,2020-06-07 00:00:00,"Trade 100+ cryptocurrencies FAST! Non-Custodial, Lax verification, No account, BEST market rates. Even EUR/USD credit card accepted!",2021-02-24 08:05:40.397554
chrome,fhhkkooikehnkaodebbfnkinedlllcfk,blockchair,Blockchair,5.0,"2,000",Blockchair,2021-01-18 00:00:00,"Block explorer and anonymous crypto portfolio tracker for Bitcoin, Ethereum, and others in your browser",2021-02-24 08:05:41.914800
chrome,kpcngaggbajehefdinhniockfhdhacnb,coinbag-track-all-your-co,Coinbag - Track all your coins in one place,5.0,100,CoinBag,2020-05-29 00:00:00,"Track price of bitcoin, Ethererum, Ripple, IOTA, EOS, Stellar and more than 1000 coins",2021-02-24 08:05:44.580002
chrome,mkhdgadimehhojbgpphhkodolihgmmfe,coinmarketcap,CoinMarketCap,5.0,253,conan,2021-01-29 00:00:00,CoinMarketCap,2021-02-24 08:05:49.309332
chrome,ehmhocjlcagmfeokjhmgmednhbdhpgep,binance-cryptocurrency-pr,Binance cryptocurrency price alerts,4.666666666666667,"4,000",kaleem hunzai,2021-02-18 00:00:00,Set cryptocurrency price alerts with notifications and sound with ease,2021-02-24 08:05:52.975879
chrome,fhilaheimglignddkjgofkcbgekhenbh,oxygen-atomic-crypto-wall,Oxygen - Atomic Crypto Wallet,2.0,281,Oxygen - Blockchain Solutions,2020-05-26 00:00:00,"Multi cryptocurrency secure wallet - your key, your money!",2021-02-24 08:05:55.533638
